eta,s,arm,mse_sig,se_mse_sig,bias2_sig,var_sig,mse_w,bias2_w,var_w,proj,nonfinite
0.001,0.0,rev,1.4034895888135704e-05,8.28491169585105e-07,3.1485697066801724e-06,1.1059125009732602e-05,0.00016610654971738377,3.0759144051057535e-05,0.0001374957771848394,0.7309270833333333,0
0.001,0.3,nrev,1.3594949790823534e-05,7.767439456634141e-07,3.111066723545886e-06,1.065029390961539e-05,0.00016170351580274586,2.8863715661957923e-05,0.00013494836839699094,0.7308489583333333,0
0.001,1.0,nrev,1.144700043820659e-05,5.840143823495585e-07,2.9450718908864923e-06,8.636879794102957e-06,0.00013504276471372722,2.4688845260987656e-05,0.00011210556896786242,0.731640625,0
0.001,2.0,nrev,9.061915987035303e-06,4.688981286783757e-07,2.4339019593068492e-06,6.733220599597157e-06,0.00010461610755257645,1.876181530851701e-05,8.721705878761594e-05,0.7346927083333333,0
0.001,5.0,nrev,0.0006499338145951529,8.374238826902466e-06,0.0006445667642438879,5.452241626681827e-06,0.007451652806076995,0.007396951641974651,5.556943654841187e-05,0.8647447916666666,0
0.001,7.0,nrev,0.00669221392925843,2.2239792619147205e-05,0.006688882270210308,3.38454252507581e-06,0.053630927791688876,0.05361178975730838,1.9441812704018966e-05,0.9930677083333334,0
0.001,10.0,nrev,0.01585266973109115,1.855444230666983e-05,0.015849852898069422,2.8615446569874056e-06,0.10345471245227197,0.1034414526462579,1.3470279125369407e-05,0.9992552083333334,0
0.003,0.0,rev,8.597785707662661e-06,3.769226130889311e-07,3.6164901293482734e-06,5.060363762097154e-06,8.647487107027319e-05,3.9072919496729335e-05,4.815436350328263e-05,0.9149427083333334,0
0.003,0.3,nrev,8.396582795545695e-06,3.627780583333384e-07,3.5500182247055475e-06,4.923494167202691e-06,8.415551056785627e-05,3.74809178165634e-05,4.741545930290069e-05,0.915125,0
0.003,1.0,nrev,7.0988690401706384e-06,3.114699155796969e-07,2.8754120335672397e-06,4.290496006708215e-06,6.896521661004117e-05,2.882133181736948e-05,4.07810893131903e-05,0.9165052083333334,0
0.003,2.0,nrev,9.942022971500015e-06,3.0445935363823583e-07,6.21494360947049e-06,3.7862393519030082e-06,0.00010467506954466805,7.178352208144528e-05,3.3413635518194575e-05,0.925359375,0
0.003,5.0,nrev,0.010334199546453659,1.4061533566584002e-05,0.01033204610007379,2.1876280684362035e-06,0.06810144158089429,0.06809187042308669,9.723080947359375e-06,0.999703125,0
0.003,7.0,nrev,0.017170390686472446,1.2678304354759822e-05,0.017169036180050903,1.3760065234660588e-06,0.10098421563397171,0.10097838991501065,5.918190690640758e-06,0.9998802083333334,0
0.003,10.0,nrev,0.023223395910835935,1.4064233804908752e-05,0.023222390227896947,1.0216461602424723e-06,0.1275669981700621,0.12756242355669645,4.647226276189761e-06,0.9999583333333333,0
0.01,0.0,rev,0.08606098627336489,0.0017826422955807208,0.05114836402687062,0.035466790853581495,0.10370788313258109,0.05867626574874739,0.04574640496135489,0.9955104166666666,0
0.01,0.3,nrev,0.08261150519487998,0.0016184930067978292,0.051988832505523996,0.031108746859028296,0.09737204887620082,0.0576498727051243,0.04035268690395079,0.9936875,0
0.01,1.0,nrev,0.04674670530067625,0.001366891214130466,0.01907494050304384,0.028110999159499588,0.07052178376352936,0.029683950391469947,0.041486052949393705,0.998734375,0
0.01,2.0,nrev,0.0027490428996794335,1.9344249833462467e-05,0.002729032106522557,2.0328424794287026e-05,0.018391456931938194,0.018333218946112926,5.916239829867736e-05,0.9999791666666666,0
0.01,5.0,nrev,0.016907122537715827,1.566711887169941e-05,0.01690470196617256,2.458993313793299e-06,0.0976325484339646,0.097617937409662,1.4842945323279841e-05,1.0,0
0.01,7.0,nrev,0.0215679290288947,1.7124464022494698e-05,0.02156471869979821,3.26128670119401e-06,0.11750917184266653,0.11748693321705224,2.2591619671710132e-05,1.0,0
0.01,10.0,nrev,0.026121261887814055,0.00013885478609772334,0.026105754133821917,1.575390881740969e-05,0.13510451324005335,0.13502874860878758,7.696724446045203e-05,1.0,0
0.03,0.0,rev,0.18356736586365124,0.00635290645598862,0.10480400627170622,0.08001357164896002,0.26477931074611516,0.155946099174922,0.11056072286597404,1.0,0
0.03,0.3,nrev,0.18012975922454794,0.0065353295409435255,0.0978267935093751,0.08360936199636604,0.2589801275793554,0.14485553284011066,0.11593609624304228,1.0,0
0.03,1.0,nrev,0.14659736659254038,0.005393456002416468,0.08026174669471742,0.06738856624540746,0.22585895277006426,0.1255807300060515,0.10186994058566386,1.0,0
0.03,2.0,nrev,0.017736037181711975,0.001244011316933507,0.0082317691385118,0.009655129440711294,0.09830915639815363,0.06897840944954478,0.02979631436049156,1.0,0
0.03,5.0,nrev,0.04717991191827939,0.0013875881313707588,0.020999670540813777,0.02659580076440951,0.2838532967624209,0.11062483883299037,0.17597811599180235,1.0,0
0.03,7.0,nrev,0.051577333291537575,0.001405132534943004,0.023207599633641364,0.028820046890561234,0.3051860758730959,0.12354070721363837,0.1845286284794489,1.0,0
0.03,10.0,nrev,0.05630214363931169,0.0014072492444013175,0.027182420361095725,0.029581941108028923,0.3174772630403361,0.12722517126183025,0.1932719662511806,1.0,0
