experiment,eta,s,train,train_sd,test,test_sd,d_train,t_train,d_test,t_test,U,proj,nonfinite
magic_ball,3e-05,2,0.7829817297581494,0.0010091118510827746,0.7835383806519454,0.0012353861583299685,-2.1687697160884812e-05,-0.27633968392109526,0.000123554153522607,1.1413050720091125,7560.434726982935,0.44415,0
magic_ball,3e-05,5,0.6142001840168244,0.03323970120662807,0.6134174553101999,0.03202274108983676,-0.16880323343848577,-50.68687259903981,-0.16999737118822292,-53.09943960384518,11904.346205374719,0.99098,0
magic_ball,1e-05,reversible,0.7830494216614089,0.001011396554646251,0.7835199789695058,0.0013202321244345976,0.0,0.0,0.0,0.0,7560.10925293765,0.2537,0
magic_ball,1e-05,0,0.7830494216614089,0.001011396554646251,0.7835199789695058,0.0013202321244345976,0.0,0.0,0.0,0.0,7560.10925293765,0.2537,0
magic_ball,1e-05,0.25,0.7830310199789693,0.0010038506201282544,0.7835699263932703,0.001307483710964039,-1.8401682439541657e-05,-0.8376578325257737,4.994742376445816e-05,1.1876171555137467,7560.07752764591,0.25339,0
magic_ball,1e-05,1,0.7829791009463724,0.001057263518077569,0.7835488958990535,0.0012317645784067752,-7.032071503680459e-05,-1.5789279028209764,2.8916929547844193e-05,0.38846998670885424,7560.036255146293,0.2534,0
magic_ball,1e-05,2,0.7828772344900105,0.0010327960896892743,0.7834174553101998,0.0012348775154354182,-0.00017218717139853013,-2.6129413956211724,-0.00010252365930599305,-1.050771907837031,7560.096446941552,0.25416,0
magic_ball,1e-05,5,0.7829449263932702,0.0011461121380090152,0.7834647739221872,0.0012651555406778933,-0.00010449526813879672,-0.9595961071531065,-5.5205047318611646e-05,-0.42295043727159565,7560.8150508649915,0.25901,0
magic_ball,3e-06,reversible,0.782785883280757,0.0011125160613805675,0.7835120925341745,0.001361353416469564,0.0,0.0,0.0,0.0,7561.184688908856,0.0893,0
magic_ball,3e-06,0,0.782785883280757,0.0011125160613805675,0.7835120925341745,0.001361353416469564,0.0,0.0,0.0,0.0,7561.184688908856,0.0893,0
magic_ball,3e-06,0.25,0.7828023133543637,0.0011227289339264589,0.7835462670872765,0.0013641271781960325,1.6430073606737984e-05,0.6699075050161623,3.417455310199768e-05,0.785286350709984,7561.123642680409,0.08908,0
magic_ball,3e-06,1,0.7828332018927443,0.0011793490285106362,0.7835094637223975,0.0013175646332621639,4.7318611987379186e-05,0.8935250957718657,-2.628811777076745e-06,-0.03675095021227806,7560.920267855566,0.08862,0
magic_ball,3e-06,2,0.7827839116719244,0.0012982657299724094,0.783388538380652,0.0014225425091406146,-1.971608832804783e-06,-0.02462549351255731,-0.000123554153522607,-1.2521096463006425,7560.806080274625,0.08905,0
magic_ball,3e-06,5,0.7827885120925342,0.0012891732186882607,0.7832781282860146,0.001450531641327755,2.628811777082296e-06,0.026825598176412245,-0.0002339642481598303,-2.2016411337203023,7560.655156631986,0.09062,0
magic_ball,1e-06,reversible,0.7808510778128286,0.001893527442904551,0.7809989484752892,0.0024446307713488604,0.0,0.0,0.0,0.0,7591.343099911864,0.00044,0
magic_ball,1e-06,0,0.7808510778128286,0.001893527442904551,0.7809989484752892,0.0024446307713488604,0.0,0.0,0.0,0.0,7591.343099911864,0.00044,0
magic_ball,1e-06,0.25,0.7808530494216614,0.0019039857975466478,0.7809148264984226,0.002467458946385982,1.971608832803673e-06,0.049564469543191714,-8.412197686645584e-05,-1.1315423086931102,7591.119683087958,0.00038,0
magic_ball,1e-06,1,0.781044952681388,0.0019994218935134723,0.7808937960042062,0.00237564111099914,0.00019387486855940384,2.1390890704652454,-0.0001051524710830698,-0.7473507511704467,7589.885633030095,0.00037,0
magic_ball,1e-06,2,0.7810988433228181,0.0020528063674610754,0.7808622502628811,0.0025407726449669676,0.0002477655099894815,2.147744501152937,-0.0001366982124079963,-0.9085527452382643,7587.93930836169,0.00048,0
magic_ball,1e-06,5,0.7813045478443744,0.002181237331745895,0.7811461619348055,0.002502147675790356,0.0004534700315457385,2.937829743694679,0.0001472134595162955,0.7215830610282646,7586.542070603009,0.00047,0
magic_lp,0.0001,reversible,0.7835580967402735,0.0011138534856781916,0.7841062039957937,0.0013588591249208246,0.0,0.0,0.0,0.0,7558.136082582239,0.0,0
magic_lp,0.0001,0,0.7835580967402735,0.0011138534856781916,0.7841062039957937,0.0013588591249208246,0.0,0.0,0.0,0.0,7558.136082582239,0.0,0
magic_lp,0.0001,0.25,0.7835613827549947,0.0011299634694328972,0.7841035751840169,0.0013543490621532879,3.2860147213420454e-06,0.0810810810809855,-2.628811777076745e-06,-0.038128281378893666,7558.265640105037,0.0,0
magic_lp,0.0001,1,0.6282952155625656,0.05552989306571844,0.6283307045215561,0.05834227592822228,-0.15526288117770767,-27.973066396346237,-0.15577549947423763,-26.756607225342016,13383.783412353674,0.98412,0
magic_lp,0.0001,2,0.5861632492113564,0.06040063758083764,0.5857386961093585,0.05835671931571142,-0.19739484752891692,-32.66414473021766,-0.19836750788643534,-34.032241550798005,14651.030430604711,0.99805,0
magic_lp,0.0001,5,0.5511402471083071,0.08503715353811434,0.548180862250263,0.07960850555902846,-0.2324178496319664,-27.359094417425812,-0.235925341745531,-29.64565513524221,17245.50592201289,0.99942,0
magic_lp,3e-05,reversible,0.7835666403785488,0.001052659889160402,0.7840536277602524,0.0012304264307239573,0.0,0.0,0.0,0.0,7557.606819778019,0.0,0
magic_lp,3e-05,0,0.7835666403785488,0.001052659889160402,0.7840536277602524,0.0012304264307239573,0.0,0.0,0.0,0.0,7557.606819778019,0.0,0
magic_lp,3e-05,0.25,0.7834897476340694,0.0010773132126603076,0.7840641430073607,0.0013099799086917303,-7.689274447949645e-05,-2.403417802430871,1.051524710830698e-05,0.17695832719903257,7557.634314143581,0.0,0
magic_lp,3e-05,1,0.7834976340694005,0.0010175128973430188,0.7839221871713985,0.001188584279976016,-6.9006309148264e-05,-0.9093008419302919,-0.00013144058885383725,-1.2318579229629714,7558.131096027917,0.0,0
magic_lp,3e-05,2,0.5928029705573081,0.04258566495879102,0.5931098843322818,0.044967775538050675,-0.1907636698212408,-44.67656777837499,-0.19094374342797063,-42.32812262692437,14474.33471390067,0.9475,0
magic_lp,3e-05,5,0.5158661934805469,0.08396671989330776,0.5168270241850684,0.08320121417629031,-0.26770044689800204,-31.829897033391838,-0.2672266035751841,-32.03743419481422,17654.96380226487,0.99705,0
magic_lp,1e-05,reversible,0.783642875920084,0.0010486619395922152,0.7841377497371188,0.0011625163171507878,0.0,0.0,0.0,0.0,7557.5842710849865,0.0,0
magic_lp,1e-05,0,0.783642875920084,0.0010486619395922152,0.7841377497371188,0.0011625163171507878,0.0,0.0,0.0,0.0,7557.5842710849865,0.0,0
magic_lp,1e-05,0.25,0.7835942429022082,0.001036987961986847,0.7840641430073606,0.001240461116217089,-4.863301787592089e-05,-1.2688558348143142,-7.360672975814886e-05,-1.5718104959867516,7557.6545509344505,0.0,0
magic_lp,1e-05,1,0.7834424290220819,0.0011699495267016322,0.7840299684542588,0.0013556472741603567,-0.00020044689800210568,-2.2061005901773143,-0.00010778128286014654,-1.1814863722849493,7557.644803766798,0.0,0
magic_lp,1e-05,2,0.783418112513144,0.0011668680810061395,0.7839090431125132,0.001302131238448495,-0.0002247634069400617,-2.304369479774283,-0.00022870662460567682,-1.9369308294040783,7558.014615045077,0.0,0
magic_lp,1e-05,5,0.5334923764458466,0.06338071352476807,0.5357754994742376,0.061854458696499616,-0.25015049947423756,-39.45633072305707,-0.2483622502628812,-40.13136212669213,16806.515252088004,0.9726,0
magic_lp,3e-06,reversible,0.7830533648790747,0.001158361961091798,0.7838669821240799,0.0013965730087034602,0.0,0.0,0.0,0.0,7559.032566549511,0.0,0
magic_lp,3e-06,0,0.7830533648790747,0.001158361961091798,0.7838669821240799,0.0013965730087034602,0.0,0.0,0.0,0.0,7559.032566549511,0.0,0
