experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
magic_lp,magic,lp,0.0001,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.5194067297581493,0.5373159831756046,0.10730010667216025,0.541062039957939,0.1046130023413317,-0.25546014721345955,0.004147325503772883,-0.22800210304942164,0.020907532002876813,17569.32653346867,0.99144,0
magic_lp,magic,lp,0.0001,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.5226330178759201,0.5364274447949527,0.08819851749918625,0.5377917981072556,0.08717571106777293,-0.25223385909568874,0.003376556743917799,-0.23127234490010515,0.01717478924760025,16860.519508265414,0.9946,0
magic_lp,magic,lp,0.0001,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.5179391167192429,0.4958254468980022,0.10123063536194729,0.4964773922187172,0.10013869503678355,-0.2569277602523659,0.00362006331663105,-0.2725867507886435,0.019947069234328645,18308.074003664173,0.99728,0
magic_lp,magic,lp,0.0001,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.5554487907465826,0.5804284963196635,0.07352352259529107,0.5800841219768664,0.07521988940248592,-0.21941808622502634,0.003262520638237544,-0.18898002103049424,0.014950701637206673,12261.630344777712,0.98448,0
magic_lp,magic,lp,0.0001,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.6586574132492115,0.6670136698212409,0.05912003052697408,0.6627234490010515,0.0560468383864865,-0.1162094637223975,0.002530067146224378,-0.10634069400630913,0.011542151489072094,11156.11715468703,0.89756,0
magic_lp,magic,lp,3e-05,reversible (no J),,reversible,0.780239432176656,0.7807781282860147,0.002650609005798489,0.7735120925341745,0.002650714920930403,0.0,0.0,0.0,0.0,7426.158263190712,0.18572,0
magic_lp,magic,lp,3e-05,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.780239432176656,0.7807781282860147,0.002650609005798489,0.7735120925341745,0.002650714920930403,0.0,0.0,0.0,0.0,7426.158263190712,0.18572,0
magic_lp,magic,lp,3e-05,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7802222923238696,0.7808359621451103,0.0025427186726581443,0.7733438485804416,0.002586854086772789,-1.7139852786565156e-05,1.299700423121438e-05,-0.00016824395373291168,7.868890403310214e-05,7425.879733927174,0.18556,0
magic_lp,magic,lp,3e-05,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7802009463722396,0.7808648790746582,0.002486023066695554,0.7732386961093586,0.002685165342804875,-3.848580441640603e-05,2.1668107649023935e-05,-0.000273396424815977,0.0001602497439971419,7425.70218558055,0.1862,0
magic_lp,magic,lp,3e-05,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7801160883280758,0.7807676130389065,0.0023846205303585783,0.7731230283911672,0.002953252905784415,-0.0001233438485804639,3.4107054050069505e-05,-0.0003890641430073538,0.0003016917060557908,7426.058048042663,0.18828,0
magic_lp,magic,lp,3e-05,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7796021030494217,0.7800552050473185,0.0026135504916919654,0.7727865404837014,0.0035705096656621334,-0.0006373291272344917,7.254680379285055e-05,-0.0007255520504731771,0.0004705695463536872,7432.802084716822,0.20464,0
magic_lp,magic,lp,3e-05,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7774148264984226,0.7780178759200841,0.005371460555961599,0.7705047318611987,0.006423577468291225,-0.0028246056782334473,0.00017521256429895715,-0.0030073606729758007,0.0010426235596902238,7472.69373676943,0.26264,0
magic_lp,magic,lp,3e-05,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.763406309148265,0.7666298633017877,0.013406235054795273,0.7626813880126184,0.01574112502246672,-0.016833123028391194,0.000806563618549168,-0.010830704521556229,0.002946068125007806,7760.568257223391,0.51504,0
magic_lp,magic,lp,3e-05,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.6226054679284964,0.6389589905362776,0.052259657295434,0.6357728706624606,0.05329366803006657,-0.15763396424815984,0.003910795724812622,-0.13773922187171395,0.010611432239516971,12402.601958876743,0.89204,0
magic_lp,magic,lp,3e-05,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.5606307045215562,0.5570872765509989,0.08771795982909537,0.5583385909568875,0.08378994481063583,-0.21960872765509998,0.0040957048333375165,-0.21517350157728707,0.016739794523108545,16614.426924507643,0.94004,0
magic_lp,magic,lp,3e-05,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.526656887486856,0.5424500525762356,0.08342316855718279,0.5406729758149317,0.08184002086643373,-0.25358254468980024,0.0037244549709167913,-0.23283911671924287,0.01643775158839541,16885.161403807848,0.97384,0
magic_lp,magic,lp,3e-05,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.5144681388012619,0.4857991587802313,0.11107111000608055,0.4815562565720295,0.10808846631721301,-0.26577129337539435,0.003253602124662905,-0.2919558359621451,0.021559189741709624,18167.0957189153,0.98468,0
magic_lp,magic,lp,3e-05,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.513422712933754,0.5123501577287066,0.09625263068747406,0.5110199789695059,0.09172974047021533,-0.26681671924290223,0.004480453475846199,-0.2624921135646688,0.018469756165739672,19104.100818501076,0.9906,0
magic_lp,magic,lp,3e-05,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.5830904311251315,0.5800262881177709,0.08159819625801422,0.5787592008412199,0.08426988863879409,-0.1971490010515247,0.003836113228912413,-0.19475289169295476,0.01665212501165772,12244.909517785652,0.933,0
magic_lp,magic,lp,3e-05,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.7640560462670872,0.7665536277602523,0.013605798350176695,0.7632386961093586,0.01577887197431913,-0.016183385909568884,0.0008218233052240192,-0.010273396424815964,0.002952664723845354,7753.369206233184,0.50708,0
