experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
titanic_lp,titanic,lp,1e-05,reversible (no J),,reversible,0.7676404494382019,0.7761797752808988,0.01691176874190125,0.7928491620111733,0.021930487627251975,0.0,0.0,0.0,0.0,368.63360714455735,0.0,0
titanic_lp,titanic,lp,1e-05,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7676404494382019,0.7761797752808988,0.01691176874190125,0.7928491620111733,0.021930487627251975,0.0,0.0,0.0,0.0,368.63360714455735,0.0,0
titanic_lp,titanic,lp,1e-05,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7675325842696626,0.7757303370786517,0.017012750465683332,0.7928491620111733,0.022745504356603632,-0.00010786516853933837,0.00016708706395734754,8.881784197001253e-18,0.0008533660512022089,368.63222795526616,0.0,0
titanic_lp,titanic,lp,1e-05,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7673595505617976,0.7751123595505618,0.01703013387347112,0.7941899441340783,0.023240939682417423,-0.0002808988764045139,0.0003450638142375157,0.0013407821229050264,0.0011753991685705422,368.62515425032257,0.0,0
titanic_lp,titanic,lp,1e-05,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7671831460674156,0.7760112359550562,0.017062920879718196,0.7921787709497208,0.022807167065020284,-0.0004573033707865326,0.0006989426368895342,-0.0006703910614525066,0.0015238191840207657,368.6005259269932,0.0,0
titanic_lp,titanic,lp,1e-05,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.767387640449438,0.7757303370786517,0.01843190419816933,0.7906145251396649,0.024304351401348904,-0.00025280898876407944,0.0018210322687298702,-0.0022346368715083775,0.0020142744555664742,368.4453519358732,0.0,0
titanic_lp,titanic,lp,1e-05,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7687235955056175,0.7777528089887639,0.01961806011368728,0.7928491620111733,0.02669120725090341,0.0010831460674156012,0.0031036127243805047,-8.881784197001253e-18,0.003761454353207478,368.0193794688025,0.0,0
titanic_lp,titanic,lp,1e-05,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7720056179775279,0.7803932584269664,0.014951324817230946,0.7950837988826815,0.019798933124770223,0.00436516853932579,0.004536216232893711,0.0022346368715083775,0.005669771824073863,366.81369316894865,0.0,0
titanic_lp,titanic,lp,1e-05,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7800584269662919,0.785561797752809,0.01990273105497169,0.7950837988826815,0.02711656111622703,0.012417977528089996,0.004867610903159492,0.0022346368715083775,0.007117882627045209,365.8008805513334,0.0,0
titanic_lp,titanic,lp,1e-05,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.7776179775280896,0.7794943820224719,0.014562107691943639,0.7894972067039105,0.02313101039730763,0.009977528089887585,0.003918827261782306,-0.003351955307262564,0.0069177562834289415,365.344612547565,0.0,0
titanic_lp,titanic,lp,1e-05,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.7791168539325839,0.7832022471910112,0.013950289659229306,0.7950837988826817,0.021071650144976743,0.01147640449438207,0.003143792683524419,0.0022346368715083775,0.00560518321910332,365.50954799608894,0.0,0
titanic_lp,titanic,lp,1e-05,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.7819146067415729,0.7796629213483146,0.016649430341575826,0.7939664804469273,0.023499130807221387,0.014274157303370828,0.003690008386214528,0.0011173184357541777,0.006491033541129748,363.98819220016253,0.0,0
titanic_lp,titanic,lp,1e-05,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.7710449438202247,0.775561797752809,0.017424600556129627,0.7937430167597764,0.027221861110786026,0.003404494382022567,0.005048989112855593,0.0008938547486033377,0.00670918476581165,367.5597288227463,0.0,0
titanic_lp,titanic,lp,1e-05,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.7768831460674156,0.7830898876404495,0.02218508430781966,0.7941899441340782,0.03400792580733032,0.009242696629213629,0.0041039189590813445,0.0013407821229050264,0.008078245773927326,366.3697542392023,0.0,0
titanic_lp,titanic,lp,1e-05,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.7676415730337076,0.7748314606741573,0.01906753077107378,0.7901675977653632,0.025092030186519888,1.123595505694297e-06,0.0032172779837743282,-0.0026815642458100576,0.003211197287865901,368.5406692960873,0.0,0
titanic_lp,titanic,lp,3e-06,reversible (no J),,reversible,0.7017629213483147,0.7158426966292136,0.04136055123445175,0.7246927374301677,0.04352883916389611,0.0,0.0,0.0,0.0,419.4360536483032,0.0,0
titanic_lp,titanic,lp,3e-06,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7017629213483147,0.7158426966292136,0.04136055123445175,0.7246927374301677,0.04352883916389611,0.0,0.0,0.0,0.0,419.4360536483032,0.0,0
titanic_lp,titanic,lp,3e-06,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7016067415730337,0.7150561797752808,0.03997532497039993,0.7240223463687151,0.044547015694248356,-0.00015617977528091574,0.00017965146719535677,-0.0006703910614525155,0.0011771680170785182,419.4349297066027,0.0,0
titanic_lp,titanic,lp,3e-06,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.701470786516854,0.7151123595505617,0.04001921841370888,0.7244692737430168,0.04418708364979931,-0.0002921348314606753,0.00043115613764825936,-0.00022346368715083108,0.0015958499281660018,419.43257826309593,0.0,0
titanic_lp,titanic,lp,3e-06,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7012382022471911,0.7150561797752809,0.03909383474726408,0.7237988826815643,0.044607693761354004,-0.0005247191011235985,0.0007886736746249909,-0.000893854748603351,0.0019798933124770208,419.4269851797113,0.0,0
titanic_lp,titanic,lp,3e-06,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7008303370786517,0.7142696629213483,0.04130956790141957,0.7237988826815642,0.04260974585014096,-0.0009325842696629661,0.0019833032213251263,-0.0008938547486033377,0.0022036964160129617,419.39929120964104,0.0,0
titanic_lp,titanic,lp,3e-06,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7000550561797751,0.7108426966292134,0.04288179958244557,0.726927374301676,0.044963102151898755,-0.0017078651685394064,0.0038808203692268983,0.0022346368715083953,0.0052307530373140185,419.32461223931904,0.0,0
titanic_lp,titanic,lp,3e-06,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7031528089887641,0.7157865168539326,0.04171899987479783,0.7334078212290502,0.04804469273743018,0.0013898876404493078,0.006215884274391571,0.008715083798882684,0.008380384839415085,419.1102563718009,0.0,0
titanic_lp,titanic,lp,3e-06,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7024258426966292,0.713876404494382,0.04117891941822053,0.7293854748603352,0.05135614953706873,0.0006629213483146046,0.007894767406110344,0.004692737430167604,0.011752575456808674,418.7965330509375,0.0,0
titanic_lp,titanic,lp,3e-06,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.7018067415730336,0.7147752808988763,0.03957568442610805,0.7300558659217877,0.04259875750592319,4.3820224718951195e-05,0.008929622869057548,0.005363128491620115,0.012830850850170435,418.38491700264416,0.0,0
