experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
magic_ball,magic,ball,0.0001,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.5800690851735015,0.6045110410094636,0.09208695800182323,0.6022397476340694,0.08976420057400385,-0.19249884332281814,0.00395379063336468,-0.16663512092534172,0.018173649198596712,12393.700001369907,0.9686,0
magic_ball,magic,ball,0.0001,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.5469257623554153,0.5653180862250263,0.08344461838614003,0.5649001051524711,0.08293919626385425,-0.22564216614090435,0.004134337821582361,-0.2039747634069401,0.016527993661631955,14178.869463111381,0.97924,0
magic_ball,magic,ball,0.0001,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.5272272344900106,0.5218112513144059,0.07989294856566918,0.5237960042060987,0.07615535535391209,-0.24534069400630912,0.00405643438916098,-0.2450788643533123,0.01581905931388861,15346.17987233344,0.98736,0
magic_ball,magic,ball,0.0001,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.6616921135646687,0.6689984227129337,0.06595151917239891,0.6647949526813881,0.06620093782283482,-0.1108758149316509,0.0025378784739937986,-0.10407991587802311,0.01334313767058643,9689.546389259693,0.95556,0
magic_ball,magic,ball,0.0001,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.7681974763406941,0.7708175604626707,0.009611209777529314,0.7666876971608834,0.0075614028666019985,-0.004370452155625615,0.00031416724575671583,-0.002187171398527874,0.0016963964989483132,7754.21631971737,0.78712,0
magic_ball,magic,ball,3e-05,reversible (no J),,reversible,0.7797272344900105,0.780378548895899,0.0031708072661130286,0.7736277602523658,0.0031929694009379976,0.0,0.0,0.0,0.0,7591.91711534849,0.62832,0
magic_ball,magic,ball,3e-05,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7797272344900105,0.780378548895899,0.0031708072661130286,0.7736277602523658,0.0031929694009379976,0.0,0.0,0.0,0.0,7591.91711534849,0.62832,0
magic_ball,magic,ball,3e-05,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7797313354363827,0.7803391167192428,0.0031383235515894527,0.7735962145110409,0.003198339646922682,4.100946372234127e-06,3.884597573510126e-06,-3.154574132492538e-05,8.357251326720198e-05,7592.00221939231,0.62824,0
magic_ball,magic,ball,3e-05,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7797403785488959,0.7803338590956886,0.0031983734076765284,0.7736382754994742,0.0031526749745307216,1.3144058885390386e-05,7.776130103959632e-06,1.0515247108298098e-05,8.649816108835076e-05,7592.153985910148,0.62808,0
magic_ball,magic,ball,3e-05,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7797425867507886,0.7802260778128287,0.0033589178925941356,0.7737013669821241,0.0031670363722073646,1.5352260778116466e-05,1.1886648536558484e-05,7.360672975813997e-05,0.00015737780806620195,7592.471229084615,0.62796,0
magic_ball,magic,ball,3e-05,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7796955835962146,0.7801603575184017,0.003611324697080489,0.7738906414300736,0.0033906576945081464,-3.1650893795975854e-05,2.3019987038937763e-05,0.0002628811777076656,0.0002470710161211327,7593.908728782918,0.6296,0
magic_ball,magic,ball,3e-05,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7794753943217665,0.7799237644584649,0.00436968796338021,0.773627760252366,0.003962390588802826,-0.0002518401682439331,4.477965647387706e-05,-8.881784197001253e-18,0.0004777884991312879,7597.970639861767,0.63352,0
magic_ball,magic,ball,3e-05,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7784783385909568,0.7789143007360673,0.006304767673202533,0.7729652996845425,0.006058579487388061,-0.0012488958990536459,0.00010563451113402287,-0.0006624605678233441,0.0010088291395398213,7612.780699232697,0.65,0
magic_ball,magic,ball,3e-05,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7739688748685594,0.7738512092534173,0.010278048232832853,0.7695688748685595,0.01000822628076398,-0.00575835962145113,0.00033474334162483517,-0.004058885383806512,0.0018888508067509218,7685.26306394528,0.70928,0
magic_ball,magic,ball,3e-05,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.7621104100946373,0.7627181913774974,0.026332907153951816,0.75931650893796,0.024905023882496144,-0.0176168243953733,0.0010714010541602636,-0.01431125131440588,0.0049403731897717795,7941.822285753472,0.79084,0
