geometry,method,iteration,simulated_time,train_acc_mean,train_acc_sd,test_acc_mean,test_acc_sd,n_repeats
unit ball,Projected SGLD,270,0.027,0.6684374999999999,0.00537535234926864,0.6551,0.010718623460542356,100
unit ball,Projected SGLD,280,0.028,0.6693124999999999,0.004753636964886925,0.6550750000000001,0.009234972778640028,100
unit ball,Projected SGLD,290,0.029,0.6680687500000001,0.005892620122370489,0.6555249999999999,0.010913427694377432,100
unit ball,Projected SGLD,300,0.030000000000000002,0.66778125,0.005410380239022771,0.656075,0.011005364853359281,100
unit ball,Projected SGLD,310,0.031,0.6676812500000001,0.004944686944314338,0.6544500000000001,0.01027144221872106,100
unit ball,Projected SGLD,320,0.032,0.667975,0.005689598208817368,0.653125,0.01060883351197711,100
unit ball,Projected SGLD,330,0.033,0.668675,0.0051777739844786055,0.6544,0.008646538397684148,100
unit ball,Projected SGLD,340,0.034,0.6694062500000002,0.004989236362643406,0.6547499999999999,0.010122357492803808,100
unit ball,Projected SGLD,350,0.035,0.6677625,0.005491312583425652,0.654475,0.010626195714061336,100
unit ball,Projected SGLD,360,0.036000000000000004,0.668275,0.00518069941848072,0.6548249999999999,0.009602286922468747,100
unit ball,Projected SGLD,370,0.037000000000000005,0.6680062499999999,0.005577942190295879,0.6524500000000001,0.00921803787268323,100
unit ball,Projected SGLD,380,0.038,0.6692125000000001,0.004153976888464714,0.653925,0.00966780949357405,100
unit ball,Projected SGLD,390,0.039,0.6672687500000001,0.005835805076976494,0.6541,0.010651267293120343,100
unit ball,Projected SGLD,400,0.04,0.6687625,0.005423204096912418,0.6546750000000001,0.010834236559083518,100
unit ball,Projected SGLD,410,0.041,0.669475,0.00554176634679091,0.6536749999999999,0.010591442848647286,100
unit ball,Projected SGLD,420,0.042,0.6688937499999998,0.005746688083302212,0.6555250000000001,0.010083583768490332,100
unit ball,Projected SGLD,430,0.043000000000000003,0.6696437500000001,0.005491366473378872,0.6533000000000001,0.009520578456239635,100
unit ball,Projected SGLD,440,0.044000000000000004,0.6688562499999999,0.005785828619623687,0.6551249999999998,0.01034978529031186,100
unit ball,Projected SGLD,450,0.045000000000000005,0.6694249999999999,0.005488797130464378,0.655275,0.0101060975193547,100
unit ball,Projected SGLD,460,0.046,0.6691812500000001,0.005403316152319712,0.6544000000000001,0.009956470917514566,100
unit ball,Projected SGLD,470,0.047,0.66770625,0.005866420637704464,0.654075,0.010592634900789055,100
unit ball,Projected SGLD,480,0.048,0.66796875,0.005556453131406322,0.6545000000000001,0.010522942707832415,100
unit ball,Projected SGLD,490,0.049,0.6681625,0.005113778056398318,0.654525,0.009934730174310912,100
unit ball,Projected SGLD,500,0.05,0.6686624999999999,0.005235173267563751,0.6539999999999999,0.008667540748462783,100
unit ball,Projected SGLD,510,0.051000000000000004,0.6680812500000001,0.006242580823738615,0.6533749999999999,0.010306998455986944,100
unit ball,Projected SGLD,520,0.052000000000000005,0.6688562500000002,0.005911312531575338,0.65515,0.010852663407214988,100
unit ball,Projected SGLD,530,0.053000000000000005,0.6683687500000001,0.005806822197017728,0.6557999999999999,0.009169283373075437,100
unit ball,Projected SGLD,540,0.054,0.6694687500000001,0.005884767160459981,0.654175,0.00956803785971025,100
unit ball,Projected SGLD,550,0.055,0.6690375000000001,0.005025518843509065,0.655425,0.009388197781031128,100
unit ball,Projected SGLD,560,0.056,0.6683875,0.0057551442732620165,0.65545,0.01065636339508376,100
