tag,eta,s,R,seed,rev_train,nrev_train,rev_test,nrev_test,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test,rev_U,nrev_U,proj_rev,proj_nrev,bad_nrev,bad_rev,wall_rev,wall_nrev
within100,6e-06,0.0,40,3000,0.6180828651685394,0.6180828651685394,0.6229050279329609,0.6229050279329609,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,1672.2630513713243,1672.2630513713243,0.0031125,0.0031125,0,0,0.816314981999767,1.0693159470001774
within100,6e-06,1.0,40,3000,0.6180828651685394,0.599122191011236,0.6229050279329609,0.6026536312849162,-0.018960674157303372,0.01995724437738554,-0.9500647383357481,0.3,-0.020251396648044706,0.02626192590332419,-0.7711314365364696,0.3,1672.2630513713243,1753.0057375736844,0.0031125,0.7466375,0,0,0.8134094719998757,1.0969201030002296
within100,6e-06,2.0,40,3000,0.6180828651685394,0.5902387640449438,0.6229050279329609,0.59231843575419,-0.027844101123595512,0.019031359826436438,-1.4630641939162596,0.3,-0.03058659217877096,0.025556389099221977,-1.196827613635845,0.3,1672.2630513713243,1633.0508078466387,0.0031125,0.9696125,0,0,0.8127503890000298,1.1034617169998455
within100,6e-06,5.0,40,3000,0.6180828651685394,0.5942766853932584,0.6229050279329609,0.6057262569832402,-0.0238061797752809,0.017820890413253222,-1.3358580420637385,0.3,-0.017178770949720677,0.02291427372866346,-0.7496973787230166,0.3,1672.2630513713243,1472.2446275303046,0.0031125,0.99365,0,0,0.8275642009998592,1.115186440999878
within100,6e-06,10.0,40,3000,0.6180828651685394,0.5699087078651686,0.6229050279329609,0.5685754189944134,-0.04817415730337078,0.019663127133960404,-2.44997435937688,0.275,-0.054329608938547505,0.026952412499787293,-2.0157605163907415,0.225,1672.2630513713243,1305.818377903381,0.0031125,0.99805,0,0,0.7904263239997817,1.0674296649999633
within100,1e-05,0.0,40,3000,0.6135884831460675,0.6135884831460675,0.6111731843575419,0.6111731843575419,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,2893.439981902914,2893.439981902914,0.013825,0.013825,0,0,0.7955919860000904,1.0525636570000643
within100,1e-05,1.0,40,3000,0.6135884831460675,0.6128511235955056,0.6111731843575419,0.6171787709497206,-0.0007373595505617891,0.020243103938111316,-0.03642522178496431,0.2,0.006005586592178769,0.02691408325050308,0.22313918465220295,0.275,2893.439981902914,2738.3440721928155,0.013825,0.8736,0,0,0.8024363499998799,1.0688884999999573
within100,1e-05,2.0,40,3000,0.6135884831460675,0.5892556179775281,0.6111731843575419,0.5879888268156425,-0.024332865168539313,0.01727397703707097,-1.4086429035027401,0.275,-0.023184357541899434,0.022449580797063686,-1.032730087544969,0.225,2893.439981902914,2687.4614910573086,0.013825,0.989875,0,0,0.7882851309996113,1.0662580220000564
within100,1e-05,5.0,40,3000,0.6135884831460675,0.5620084269662922,0.6111731843575419,0.5621508379888267,-0.05158005617977527,0.01888924702502547,-2.7306570829127965,0.3,-0.04902234636871508,0.02460434319148158,-1.992426539786171,0.25,2893.439981902914,2238.8897415230904,0.013825,0.9977,0,0,0.7931737349999821,1.0677381890000106
within100,1e-05,10.0,40,3000,0.6135884831460675,0.5489115168539327,0.6111731843575419,0.5432960893854748,-0.06467696629213483,0.01939817903615149,-3.334177201457898,0.25,-0.06787709497206704,0.025912109082762737,-2.619512551265858,0.25,2893.439981902914,1828.963717449189,0.013825,0.999425,0,0,0.795264447000136,1.0729999119998865
within100,1.5e-05,0.0,40,3000,0.6088834269662922,0.6088834269662922,0.6079608938547485,0.6079608938547485,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,4723.998110431317,4723.998110431317,0.0423375,0.0423375,0,0,0.7976453890000812,1.0653534399998534
within100,1.5e-05,1.0,40,3000,0.6088834269662922,0.5854985955056179,0.6079608938547485,0.5777932960893855,-0.023384831460674167,0.014433769870700676,-1.6201471736184034,0.25,-0.03016759776536313,0.018505725107794455,-1.6301764772598288,0.05,4723.998110431317,4471.722616902962,0.0423375,0.9635875,0,0,0.801148866999938,1.0793522779999876
within100,1.5e-05,2.0,40,3000,0.6088834269662922,0.562183988764045,0.6079608938547485,0.5625698324022347,-0.04669943820224719,0.0162759793271881,-2.8692244726704974,0.275,-0.045391061452513946,0.020763087408673976,-2.186142193552169,0.25,4723.998110431317,4193.657844243911,0.0423375,0.9952,0,0,0.8043977490001453,1.0795525939997788
