tag,eta,s,R,seed,rev_train,nrev_train,rev_test,nrev_test,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test,rev_U,nrev_U,proj_rev,proj_nrev,bad_nrev,bad_rev,wall_rev,wall_nrev
tight_r2,1e-05,0.0,32,3000,0.7265625,0.7265625,0.721717877094972,0.721717877094972,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,431.35268438405717,431.35268438405717,0.192921875,0.192921875,0,0,0.6832949239997106,0.9493819499998608
tight_r2,1e-05,1.0,32,3000,0.7265625,0.7274841994382022,0.721717877094972,0.7206703910614525,0.0009216994382022468,0.0008797535886452013,1.0476790888931082,0.5,-0.0010474860335195485,0.00147204788925018,-0.7115842094329612,0.28125,431.35268438405717,431.37212097304825,0.192921875,0.19409375,0,0,0.6859098300001278,0.9390189119999377
tight_r2,1e-05,5.0,32,3000,0.7265625,0.7324877106741573,0.721717877094972,0.7280027932960894,0.0059252106741573,0.0028966302226535613,2.045553011156978,0.71875,0.006284916201117319,0.004875378831007984,1.289113404099905,0.5625,431.35268438405717,431.80753937014924,0.192921875,0.199703125,0,0,0.6805540149998706,0.9353954160001194
tight_r2,3e-06,0.0,32,3000,0.7118591994382024,0.7118591994382024,0.702513966480447,0.702513966480447,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,433.49460801695716,433.49460801695716,0.036390625,0.036390625,0,0,0.6901882500001193,0.9177723360003256
tight_r2,3e-06,1.0,32,3000,0.7118591994382024,0.7118591994382022,0.702513966480447,0.7030377094972067,0.0,0.0010776322845475086,0.0,0.4375,0.0005237430167597847,0.0016894278986443068,0.3100120562588471,0.34375,433.49460801695716,433.42848916865194,0.036390625,0.036765625,0,0,0.6715833670000393,0.9154429089999212
tight_r2,3e-06,5.0,32,3000,0.7118591994382024,0.715721558988764,0.702513966480447,0.71106843575419,0.00386235955056179,0.003298657421034323,1.170888351707257,0.4375,0.008554469273743027,0.005060518289455477,1.6904334268621934,0.5,433.49460801695716,433.4873349430908,0.036390625,0.040390625,0,0,0.673446973999944,0.9152161219999471
tight_r2,1e-06,0.0,32,3000,0.6791608146067415,0.6791608146067415,0.6787709497206704,0.6787709497206704,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,458.6230382830257,458.6230382830257,0.0,0.0,0,0,0.6563483930003713,0.9004263219999302
tight_r2,1e-06,1.0,32,3000,0.6791608146067415,0.6781952247191011,0.6787709497206704,0.6773743016759777,-0.0009655898876404605,0.0009213285533329064,-1.0480407712834239,0.40625,-0.0013966480446927394,0.0015665289827638954,-0.89155582824173,0.28125,458.6230382830257,458.55373854105494,0.0,0.0,0,0,0.6590489909999633,0.9069545070001368
tight_r2,1e-06,5.0,32,3000,0.6791608146067415,0.6769662921348315,0.6787709497206704,0.6813896648044693,-0.002194522471910102,0.003068769617612508,-0.7151147675977817,0.40625,0.002618715083798885,0.004380714253514957,0.597782674753941,0.46875,458.6230382830257,458.36098377534597,0.0,0.0,0,0,0.6634842619996562,0.904505952999898
within10,0.0001,0.0,32,3000,0.7824789325842697,0.7824789325842697,0.803072625698324,0.803072625698324,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,368.0171786843656,368.0171786843656,0.196390625,0.196390625,0,0,0.6531977569998162,0.9276109130000805
within10,0.0001,1.0,32,3000,0.7824789325842697,0.7830495084269663,0.803072625698324,0.802199720670391,0.0005705758426966211,0.00041764798212431427,1.3661644904746297,0.4375,-0.0008729050279329652,0.0008360859861005548,-1.0440373866378645,0.125,368.0171786843656,367.5883979379324,0.196390625,0.20503125,0,0,0.6571264049998717,0.9445193319997998
within10,0.0001,5.0,32,3000,0.7824789325842697,0.7786604634831461,0.803072625698324,0.7959148044692737,-0.0038184691011236074,0.0015072536182916473,-2.533395212845161,0.28125,-0.007157821229050277,0.0022469135732276803,-3.185623743759802,0.25,368.0171786843656,369.73830994868024,0.196390625,0.3749375,0,0,0.6692508360001739,0.9467236469999989
within10,3e-05,0.0,32,3000,0.7843662219101124,0.7843662219101124,0.8044692737430168,0.8044692737430168,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,366.6462169800114,366.6462169800114,0.059890625,0.059890625,0,0,0.6412379830003374,0.9096937660001458
within10,3e-05,1.0,32,3000,0.7843662219101124,0.7840150983146067,0.8044692737430168,0.8041201117318436,-0.0003511235955056223,0.0006492801127204848,-0.5407890810553458,0.28125,-0.0003491620111731944,0.0012013766080715496,-0.29063493398100154,0.3125,366.6462169800114,366.47173665231594,0.059890625,0.06321875,0,0,0.6432243799999924,0.922579143999883
within10,3e-05,5.0,32,3000,0.7843662219101124,0.7816450140449438,0.8044692737430168,0.8046438547486034,-0.0027212078651685408,0.001240508026926472,-2.1936237461604375,0.34375,0.00017458100558658332,0.0013150705843064285,0.13275409523258233,0.34375,366.6462169800114,366.29406424374497,0.059890625,0.089875,0,0,0.649794827000278,0.9318572419997508
within10,1e-05,0.0,32,3000,0.7603581460674156,0.7603581460674156,0.7875349162011174,0.7875349162011174,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,381.4056368699812,381.4056368699812,0.0,0.0,0,0,0.6299050529996748,0.9034212820001812
within10,1e-05,1.0,32,3000,0.7603581460674156,0.7609726123595506,0.7875349162011174,0.7891061452513967,0.0006144662921348451,0.0006819555537102806,0.9010356888975387,0.5625,0.0015712290502793262,0.001332892794051996,1.1788112722125144,0.4375,381.4056368699812,379.8571857973856,0.0,0.000203125,0,0,0.628764184999909,0.8927175840003656
within10,1e-05,5.0,32,3000,0.7603581460674156,0.7690484550561798,0.7875349162011174,0.791550279329609,0.008690308988764057,0.0020439218049739328,4.251781534702542,0.71875,0.0040153631284916246,0.0020568461912051222,1.9521941629184203,0.53125,381.4056368699812,375.25085614916935,0.0,0.00321875,0,0,0.6250131169999804,0.9027008100001694
within10,3e-06,0.0,32,3000,0.7162043539325843,0.7162043539325843,0.7421438547486033,0.7421438547486033,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,412.905511641564,412.905511641564,0.0,0.0,0,0,0.6349095689997739,0.9149402089997238
within10,3e-06,1.0,32,3000,0.7162043539325843,0.7187938904494382,0.7421438547486033,0.7447625698324022,0.0025895365168539172,0.000993346476155709,2.606881464839467,0.5625,0.002618715083798885,0.0015255107512759964,1.7166152920315312,0.375,412.905511641564,411.4638352175307,0.0,0.0,0,0,0.6303469720000976,0.8998543859997881
