stage,potential,mode,s1,s2,s3,target_block,own_ratio,own_t,overall,overall_t,rhat,bias_rev,bias_nrev,d_acc_pts,t_acc
search,graded,block2,0.0,1.0,0.0,2,1.3657899441968282,12.97769767929856,1.1127061108350829,9.915368268894868,1.0673193317107632,0.05826367520989145,0.05693660547006802,-0.011646491568589185,-1.4068681101436107
search,graded,block2,0.0,2.0,0.0,2,1.9322070625452712,17.11141564136613,1.2542072695628694,11.517073623610179,1.0673193317107632,0.05826367520989145,0.05782501020422876,-0.01010655579746662,-0.9463504542406705
search,graded,block2,0.0,5.0,0.0,2,3.7113973671113034,18.04104218090591,1.5665525229516566,11.768111200605118,1.0673193317107632,0.05826367520989145,0.06924829282216324,-0.02497256043918275,-2.0405300367753347
search,graded,block2,0.0,10.0,0.0,2,8.399867328806609,32.23028745018763,2.069542959383532,13.820311416234345,1.0673193317107632,0.05826367520989145,0.6933398556075654,-0.1620190862044538,-10.339442972844658
search,graded,block2,0.0,20.0,0.0,2,24.240181086298012,55.16123818900797,6.113889620883975,33.60685390831588,1.0673193317107632,0.05826367520989145,61.10217007422549,-10.608121023903937,-455.1917585627039
search,graded,block3,0.0,0.0,1.0,3,1.2219290374543155,10.55613520432274,1.0697662204995848,8.655583518192131,1.0673193317107632,0.05826367520989145,0.05878763344551087,0.0014390835543352798,1.0443470745531958
search,graded,block3,0.0,0.0,2.0,3,1.67471522906642,12.544137668348348,1.1885039860120794,9.594444668873603,1.0674147290983398,0.05826367520989145,0.06363150500567001,0.007552279461798632,3.7363530370534583
search,graded,block3,0.0,0.0,5.0,3,3.008183226439349,13.03730689821214,1.4451956936848096,9.792036794790363,1.0673193317107632,0.05826367520989145,0.1691506747407495,0.03231537760465207,14.028083671205017
search,graded,block3,0.0,0.0,10.0,3,4.413764460682701,12.337706315078995,1.5509577129578298,8.011576086837193,1.078641467032697,0.05826367520989145,1.0972323099010053,0.11605568842165982,8.982428829719439
search,graded,block3,0.0,0.0,20.0,3,42.00414665931077,27.18725046655842,10.1873018926761,33.558511983109646,1.0673193317107632,0.05826367520989145,47.0328999973738,-10.356180549675098,-501.8015873625007
search,graded,uniform,1.0,1.0,1.0,0,,,1.2011768510135308,15.451266092247604,1.0673193317107632,0.05826367520989145,0.05740017543797004,-0.008993302481851335,-1.0290730667095613
search,graded,uniform,2.0,2.0,2.0,0,,,1.5387128146024396,19.474246520934717,1.0673193317107632,0.05826367520989145,0.06315145045478354,-0.005568206043835011,-0.5091853283853511
search,graded,uniform,5.0,5.0,5.0,0,,,2.551881144691321,22.167665909688644,1.0673193317107632,0.05826367520989145,0.1524023942621154,0.009334648446242266,0.748150065011047
search,graded,uniform,10.0,10.0,10.0,0,,,3.6474900508886647,22.21415659819673,1.0794907779357836,0.05826367520989145,1.6416915943748736,0.03296121968488011,1.9711199623454654
search,graded,uniform,20.0,20.0,20.0,0,,,14.136088930889949,41.43790941552581,1.0673193317107632,0.05826367520989145,47.21171608407374,-10.390165807253245,-509.21594058587306
