stage,exp,init,arm,eta,s,train,test,proj,nbad,d_train,t_train
search,titanic_ball,boundary,nrev,1e-05,u5,0.7737886235955056,0.7775837988826816,0.019458333333333334,0,0.025324789325842693,4.559678396881185
search,titanic_ball,boundary,nrev,1e-05,b2_5,0.7701457162921348,0.7809008379888267,0.0168125,0,0.021681882022471906,4.247171479190049
search,titanic_ball,boundary,nrev,1e-05,gn1,0.754345154494382,0.7564594972067039,0.016479166666666666,0,0.0058813202247190895,1.1711210847613576
search,titanic_ball,boundary,nrev,1e-05,gn5,0.7708479634831461,0.7761871508379887,0.018479166666666668,0,0.02238412921348314,4.150356605439713
search,titanic_ball,boundary,rev,3e-05,-,0.7981478230337079,0.8072625698324023,0.10366666666666667,0,,
search,titanic_ball,boundary,nrev,3e-05,u0.25,0.7980161516853932,0.8067388268156425,0.10564583333333333,0,-0.00013167134831459926,-0.12793168529546614
search,titanic_ball,boundary,nrev,3e-05,u1,0.7987183988764045,0.8072625698324022,0.11316666666666667,0,0.0005705758426966315,0.41651238354684095
search,titanic_ball,boundary,nrev,3e-05,u2,0.7986745084269662,0.8081354748603353,0.11752083333333334,0,0.0005266853932584248,0.28717795776581473
search,titanic_ball,boundary,nrev,3e-05,u5,0.7995523174157304,0.8081354748603352,0.12377083333333333,0,0.0014044943820224719,0.676435196930021
search,titanic_ball,boundary,nrev,3e-05,b2_5,0.7967433286516854,0.8079608938547487,0.11922916666666666,0,-0.0014044943820224753,-0.829417521998123
search,titanic_ball,boundary,nrev,3e-05,gn1,0.7992011938202248,0.8070879888268156,0.11241666666666666,0,0.0010533707865168565,0.834122651954582
search,titanic_ball,boundary,nrev,3e-05,gn5,0.7989378511235955,0.807437150837989,0.124375,0,0.0007900280898876302,0.38478952092186985
search,titanic_ball,boundary,rev,0.0001,-,0.7986745084269663,0.807786312849162,0.27627083333333335,0,,
search,titanic_ball,boundary,nrev,0.0001,u0.25,0.7991134129213483,0.807437150837989,0.2775208333333333,0,0.00043890449438201487,1.0811702502869505
search,titanic_ball,boundary,nrev,0.0001,u1,0.7985428370786517,0.8056913407821229,0.2828541666666667,0,-0.00013167134831461313,-0.17814882473326146
search,titanic_ball,boundary,nrev,0.0001,u2,0.7975772471910112,0.8083100558659219,0.28589583333333335,0,-0.0010972612359550632,-0.6418975071394717
search,titanic_ball,boundary,nrev,0.0001,u5,0.7976650280898876,0.8055167597765364,0.29,0,-0.0010094803370786637,-0.4576820262201074
search,titanic_ball,boundary,nrev,0.0001,b2_5,0.798411165730337,0.806913407821229,0.2868125,0,-0.00026334269662922627,-0.1784739511809657
search,titanic_ball,boundary,nrev,0.0001,gn1,0.7988500702247191,0.8049930167597765,0.28225,0,0.00017556179775280942,0.21889140384439726
search,titanic_ball,boundary,nrev,0.0001,gn5,0.7983672752808988,0.8058659217877095,0.29039583333333335,0,-0.00030723314606742255,-0.14001174341290487
search,titanic_ball,boundary,rev,0.0003,-,0.7991573033707865,0.8091829608938548,0.47291666666666665,0,,
search,titanic_ball,boundary,nrev,0.0003,u0.25,0.7988939606741573,0.8100558659217878,0.47408333333333336,0,-0.00026334269662919504,-0.5284688063445535
search,titanic_ball,boundary,nrev,0.0003,u1,0.7991573033707865,0.8084846368715084,0.47602083333333334,0,3.469446951953614e-18,3.760747683760699e-15
search,titanic_ball,boundary,nrev,0.0003,u2,0.7974455758426966,0.8058659217877095,0.47791666666666666,0,-0.0017117275280898805,-1.2215430707323491
search,titanic_ball,boundary,nrev,0.0003,u5,0.7943293539325843,0.8053421787709498,0.4902916666666667,0,-0.004827949438202236,-2.3393838209672437
search,titanic_ball,boundary,nrev,0.0003,b2_5,0.7939782303370787,0.8070879888268156,0.4857708333333333,0,-0.005179073033707859,-2.9434793449853918
search,titanic_ball,boundary,nrev,0.0003,gn1,0.7992889747191012,0.809532122905028,0.47575,0,0.00013167134831462007,0.1464131267614229
search,titanic_ball,boundary,nrev,0.0003,gn5,0.7967872191011236,0.8028980446927374,0.48820833333333336,0,-0.002370084269662908,-1.1334421181465046
search,titanic_ball,antimap,rev,1e-06,-,0.21242977528089887,0.20251396648044695,0.002625,0,,
search,titanic_ball,antimap,nrev,1e-06,u0.25,0.21532654494382023,0.2047835195530726,0.002625,0,0.0028967696629213476,3.193119679723348
search,titanic_ball,antimap,nrev,1e-06,u1,0.23608672752808987,0.21560754189944137,0.0026458333333333334,0,0.023656952247191013,6.206521832967486
search,titanic_ball,antimap,nrev,1e-06,u2,0.27690484550561795,0.2346368715083799,0.0026458333333333334,0,0.0644750702247191,22.491049854748365
search,titanic_ball,antimap,nrev,1e-06,u5,0.2894575140449438,0.24703212290502793,0.0026666666666666666,0,0.07702773876404495,64.9081555597237
search,titanic_ball,antimap,nrev,1e-06,b2_5,0.30310744382022475,0.2540153631284916,0.0026458333333333334,0,0.09067766853932585,45.70011458973318
search,titanic_ball,antimap,nrev,1e-06,gn1,0.22713307584269665,0.21141759776536312,0.002625,0,0.01470330056179776,4.26598369852717
search,titanic_ball,antimap,nrev,1e-06,gn5,0.29380266853932585,0.2496508379888268,0.0026666666666666666,0,0.08137289325842698,59.7773636019118
search,titanic_ball,antimap,rev,3e-06,-,0.5427931882022472,0.5214734636871509,0.0012916666666666667,0,,
search,titanic_ball,antimap,nrev,3e-06,u0.25,0.547972261235955,0.5197276536312849,0.0012916666666666667,0,0.005179073033707866,3.3912671292885967
search,titanic_ball,antimap,nrev,3e-06,u1,0.5405986657303371,0.5040153631284916,0.0012916666666666667,0,-0.0021945224719101108,-0.33038323918836426
search,titanic_ball,antimap,nrev,3e-06,u2,0.5021506320224719,0.4825418994413408,0.0012916666666666667,0,-0.04064255617977528,-3.4956397049333687
search,titanic_ball,antimap,nrev,3e-06,u5,0.7014132724719101,0.7287011173184357,0.0013125,0,0.15862008426966293,19.902782778350037
search,titanic_ball,antimap,nrev,3e-06,b2_5,0.6856566011235955,0.6862779329608939,0.0013125,0,0.14286341292134833,18.46159619638169
search,titanic_ball,antimap,nrev,3e-06,gn1,0.5546875,0.5178072625698324,0.0012916666666666667,0,0.011894311797752813,4.305508307176963
search,titanic_ball,antimap,nrev,3e-06,gn5,0.5906337780898876,0.5803072625698324,0.0013125,0,0.04784058988764045,3.98160742187199
search,titanic_ball,antimap,rev,1e-05,-,0.6982092696629214,0.692213687150838,0.0005625,0,,
search,titanic_ball,antimap,nrev,1e-05,u0.25,0.6982531601123596,0.6875,0.0005625,0,4.3890449438182405e-05,0.058718756260483944
search,titanic_ball,antimap,nrev,1e-05,u1,0.7105424859550562,0.7021648044692737,0.0005625,0,0.012333216292134814,7.894178741032307
search,titanic_ball,antimap,nrev,1e-05,u2,0.7859901685393258,0.8088337988826816,0.0005625,0,0.08778089887640447,28.923548802009847
search,titanic_ball,antimap,nrev,1e-05,u5,0.7504827949438202,0.7440642458100558,0.0011666666666666668,0,0.05227352528089886,14.195227183119858
search,titanic_ball,antimap,nrev,1e-05,b2_5,0.7452598314606742,0.7393505586592178,0.0010208333333333332,0,0.0470505617977528,13.811568493954402
search,titanic_ball,antimap,nrev,1e-05,gn1,0.7040466994382022,0.6909916201117319,0.0005625,0,0.005837429775280883,4.086368483319521
search,titanic_ball,antimap,nrev,1e-05,gn5,0.752370084269663,0.7482541899441341,0.0009583333333333333,0,0.05416081460674156,15.512979129184359
search,titanic_ball,antimap,rev,3e-05,-,0.7978405898876404,0.807786312849162,0.0395625,0,,
search,titanic_ball,antimap,nrev,3e-05,u0.25,0.7977089185393258,0.8090083798882681,0.042479166666666665,0,-0.00013167134831460273,-0.19965679940392425
search,titanic_ball,antimap,nrev,3e-05,u1,0.8001667837078651,0.8098812849162011,0.06783333333333333,0,0.002326193820224729,1.5126931956758043
search,titanic_ball,antimap,nrev,3e-05,u2,0.8012640449438202,0.8107541899441342,0.09272916666666667,0,0.0034234550561797784,1.919364395926514
search,titanic_ball,antimap,nrev,3e-05,u5,0.799464536516854,0.806913407821229,0.10929166666666666,0,0.001623946629213488,0.7853554457252707
search,titanic_ball,antimap,nrev,3e-05,b2_5,0.7989378511235955,0.807786312849162,0.10254166666666667,0,0.0010972612359550563,0.6088221595464587
search,titanic_ball,antimap,nrev,3e-05,gn1,0.8002545646067416,0.8114525139664805,0.059729166666666667,0,0.0024139747191011286,1.6453597289537534
search,titanic_ball,antimap,nrev,3e-05,gn5,0.7988939606741573,0.8051675977653632,0.10679166666666666,0,0.0010533707865168565,0.4340348206345848
search,titanic_ball,antimap,rev,0.0001,-,0.7984989466292135,0.8076117318435754,0.24295833333333333,0,,
search,titanic_ball,antimap,nrev,0.0001,u0.25,0.7992450842696629,0.8076117318435754,0.24427083333333333,0,0.000746137640449434,1.8710897744680168
search,titanic_ball,antimap,nrev,0.0001,u1,0.7984989466292135,0.8056913407821229,0.26014583333333335,0,-6.938893903907228e-18,-9.469873873234286e-15
search,titanic_ball,antimap,nrev,0.0001,u2,0.797533356741573,0.8084846368715084,0.27527083333333335,0,-0.0009655898876404535,-0.5720373497224218
search,titanic_ball,antimap,nrev,0.0001,u5,0.7975772471910112,0.8055167597765364,0.280875,0,-0.0009216994382022572,-0.4269910141528376
