experiment,eta,s,rev_train,nrev_train,rev_test,nrev_test,rev_U,nrev_U,proj_nrev,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test
magic_ball,1e-05,0.0,0.7827122765509988,0.7827122765509988,0.7833596214511042,0.7833596214511042,7560.171799108568,7560.171799108568,0.2585,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_ball,1e-05,0.25,0.7827122765509988,0.7827221345951629,0.7833596214511042,0.7832939011566772,7560.171799108568,7560.1441663334745,0.258175,9.858044164048896e-06,4.329757848467185e-05,0.22768118931960196,0.45,-6.572029442691862e-05,6.70548528315498e-05,-0.9800975119879278,0.3
magic_ball,1e-05,1.0,0.7827122765509988,0.7827402076761304,0.7833596214511042,0.783149316508938,7560.171799108568,7560.083394604933,0.2575,2.7931125131441803e-05,8.467753719906617e-05,0.32985282821557815,0.475,-0.0002103049421661396,0.00015036699663859574,-1.3986110440950257,0.35
magic_ball,1e-05,2.0,0.7827122765509988,0.7827287066246057,0.7833596214511042,0.7831821766561514,7560.171799108568,7560.1913297233405,0.257825,1.6430073606729656e-05,0.0001268909740796463,0.12948181480912038,0.525,-0.00017744479495268028,0.00019207066150546444,-0.923851636485523,0.325
magic_ball,1e-05,5.0,0.7827122765509988,0.7827385646687697,0.7833596214511042,0.7831887486855942,7560.171799108568,7561.150543937532,0.266575,2.628811777076745e-05,0.00019748079952364012,0.13311733512411944,0.575,-0.00017087276550998843,0.00019141510368418863,-0.8926817279367226,0.375
magic_ball,3e-06,0.0,0.7823130257623554,0.7823130257623554,0.7831230283911672,0.7831230283911672,7561.478715114159,7561.478715114159,0.0963,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_ball,3e-06,0.25,0.7823130257623554,0.7823541009463723,0.7831230283911672,0.7831361724500525,7561.478715114159,7561.452897553661,0.096275,4.107518401681998e-05,3.892957659945476e-05,1.0551150976914367,0.475,1.3144058885383724e-05,5.721625281536064e-05,0.22972596488973474,0.375
magic_ball,3e-06,1.0,0.7823130257623554,0.7824083201892744,0.7831230283911672,0.7830441640378549,7561.478715114159,7561.475345313898,0.095725,9.52944269190209e-05,6.340237899389086e-05,1.5030102723464525,0.525,-7.886435331230234e-05,0.00015357347660309415,-0.5135284754679664,0.375
magic_ball,3e-06,2.0,0.7823130257623554,0.7826054810725552,0.7831230283911672,0.7831821766561514,7561.478715114159,7561.3446306439755,0.095275,0.0002924553101997879,0.00012056263096518207,2.4257542147056133,0.625,5.9148264984226764e-05,0.00018600120528502654,0.317999364001908,0.425
magic_ball,3e-06,5.0,0.7823130257623554,0.7825939800210305,0.7831230283911672,0.7832610410094637,7561.478715114159,7561.026829683549,0.0981,0.0002809542586750868,0.00015509453052494905,1.8115033310597084,0.575,0.00013801261829652912,0.00023793502225071716,0.5800433117874607,0.575
magic_ball,1e-06,0.0,0.7810331230283911,0.7810331230283911,0.7811908517350158,0.7811908517350158,7591.413283972879,7591.413283972879,0.001475,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_ball,1e-06,0.25,0.7810331230283911,0.7810511961093585,0.7811908517350158,0.7810002628811776,7591.413283972879,7591.394952314474,0.00155,1.807308096740401e-05,6.860542649879029e-05,0.26343515214095625,0.475,-0.0001905888538380668,0.00012344134134079603,-1.5439629201038116,0.4
magic_ball,1e-06,1.0,0.7810331230283911,0.7810166929547844,0.7811908517350158,0.7809476866456362,7591.413283972879,7590.722375936527,0.00145,-1.643007360673243e-05,0.0001303990505681407,-0.12599841436841452,0.525,-0.0002431650893796017,0.00019707941822231457,-1.2338431459407921,0.375
magic_ball,1e-06,2.0,0.7810331230283911,0.7810955573080968,0.7811908517350158,0.7810528391167193,7591.413283972879,7589.60226396634,0.001275,6.243427970557547e-05,0.0001632687195040787,0.3824019683330447,0.525,-0.00013801261829653189,0.0002351257182832194,-0.5869737232670121,0.45
magic_ball,1e-06,5.0,0.7810331230283911,0.7817839773922187,0.7811908517350158,0.7818414826498422,7591.413283972879,7586.899719060896,0.001175,0.0007508543638275411,0.00023281924027910127,3.225052890506063,0.75,0.0006506309148264971,0.00030310908327652665,2.1465239767589743,0.675
magic_lp,0.0001,0.0,0.7835091351209253,0.7835091351209253,0.7840102523659306,0.7840102523659306,7558.629903818006,7558.629903818006,0.0,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_lp,0.0001,0.25,0.7835091351209253,0.7834384858044163,0.7840102523659306,0.7840628286014721,7558.629903818006,7558.773793641614,0.0,-7.064931650893891e-05,6.060882171535909e-05,-1.1656606168774177,0.4,5.25762355415349e-05,0.00010447624238991313,0.5032362797401965,0.475
magic_lp,0.0001,1.0,0.7835091351209253,0.6152126051524711,0.7840102523659306,0.6126840168243953,7558.629903818006,13974.547712551834,0.98455,-0.16829652996845423,0.007819913919052358,-21.521532296975582,0.0,-0.17132623554153525,0.008128633691884678,-21.076879834378676,0.0
magic_lp,0.0001,2.0,0.7835091351209253,0.5697226603575183,0.7840102523659306,0.5707281808622502,7558.629903818006,15882.53114276565,0.998,-0.21378647476340693,0.010139715897601959,-21.08406950671738,0.0,-0.21328207150368034,0.009902272500519789,-21.53869947453827,0.0
magic_lp,0.0001,5.0,0.7835091351209253,0.5285078207150369,0.7840102523659306,0.5288249211356467,7558.629903818006,18153.89991937247,0.999475,-0.2550013144058886,0.013811088049452382,-18.463521012451988,0.0,-0.2551853312302839,0.013211366088336054,-19.31559003997171,0.0
magic_lp,3e-05,0.0,0.7832708990536277,0.7832708990536277,0.7838130914826499,0.7838130914826499,7557.724401986768,7557.724401986768,0.0,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_lp,3e-05,0.25,0.7832708990536277,0.7832133937960042,0.7838130914826499,0.7839116719242902,7557.724401986768,7557.974093246397,0.0,-5.750525762356351e-05,6.804622464695472e-05,-0.8450910821565625,0.5,9.858044164037794e-05,9.538300065295804e-05,1.033522126223031,0.45
magic_lp,3e-05,1.0,0.7832708990536277,0.7832511829652997,0.7838130914826499,0.7838919558359623,7557.724401986768,7558.105648057293,0.0,-1.9716088328078364e-05,0.00013062074115332818,-0.1509414826006444,0.4,7.886435331230234e-05,0.00020192286403439955,0.39056673294247163,0.475
magic_lp,3e-05,2.0,0.7832708990536277,0.5998636303890642,0.7838130914826499,0.5983175604626709,7557.724401986768,14262.962574296316,0.95445,-0.1834072686645636,0.00653909985206249,-28.04778529367698,0.0,-0.18549553101997898,0.007059527744369196,-26.2759121766939,0.0
magic_lp,3e-05,5.0,0.7832708990536277,0.5162263406940063,0.7838130914826499,0.5178627760252367,7557.724401986768,17234.85360200145,0.996875,-0.2670445583596215,0.013047794673692653,-20.46664321734343,0.0,-0.26595031545741327,0.012407756621601205,-21.43419826549537,0.0
magic_lp,1e-05,0.0,0.7831805336487908,0.7831805336487908,0.7839116719242902,0.7839116719242902,7557.5367847257385,7557.5367847257385,0.0,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_lp,1e-05,0.25,0.7831805336487908,0.7831756046267087,0.7839116719242902,0.783832807570978,7557.5367847257385,7557.635396972834,0.0,-4.929022082020285e-06,5.3057847965301306e-05,-0.09289902005154373,0.45,-7.886435331230234e-05,0.00010985017273753122,-0.7179265298083386,0.35
magic_lp,1e-05,1.0,0.7831805336487908,0.7831591745531019,0.7839116719242902,0.7836685068349106,7557.5367847257385,7558.129660461083,0.0,-2.135909568874439e-05,0.00012280241820616868,-0.1739305788985796,0.5,-0.0002431650893795989,0.00018139521704112877,-1.3405264667175028,0.35
magic_lp,1e-05,2.0,0.7831805336487908,0.7833481203995794,0.7839116719242902,0.7839116719242902,7557.5367847257385,7558.325361485118,0.0,0.00016758675078865358,0.00017106952145525185,0.9796411971169904,0.5,0.0,0.00018154473580411957,0.0,0.425
magic_lp,1e-05,5.0,0.7831805336487908,0.5371713985278654,0.7839116719242902,0.53818349106204,7557.5367847257385,16635.362138747027,0.972275,-0.24600913512092532,0.009169645215799566,-26.828642693508403,0.0,-0.24572818086225023,0.008655221323269019,-28.390744925450427,0.0
magic_lp,3e-06,0.0,0.782636698212408,0.782636698212408,0.7834647739221872,0.7834647739221872,7559.148972108817,7559.148972108817,0.0,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
