geometry,iteration,rev_train,nr_train,rev_test,nr_test,rev_test_sd,nr_test_sd,paired_diff,paired_se,t_stat
L1-smooth ball,120,0.57155,0.7432874999999999,0.568475,0.7286499999999998,0.1063672971074258,0.04822927670319275,0.160175,0.01106570453785894,14.474903016974249
L1-smooth ball,130,0.57745625,0.7455250000000001,0.573675,0.7309249999999998,0.10558067849619632,0.04737377566979564,0.15725,0.011080257034906544,14.191909041875968
L1-smooth ball,140,0.58265625,0.7476625,0.57955,0.7328499999999998,0.104205980460031,0.04640622672430801,0.15330000000000002,0.010734918949320712,14.28049906326499
L1-smooth ball,150,0.5889812499999999,0.7494375,0.5845750000000001,0.7354000000000002,0.10215175814404366,0.046052122424465734,0.150825,0.010356465737680861,14.563365903026147
L1-smooth ball,160,0.59518125,0.7515312499999999,0.590225,0.7356999999999999,0.10112317159451305,0.045754174065810053,0.145475,0.010280147522327102,14.151061517750383
L1-smooth ball,170,0.60058125,0.7533937500000001,0.5955750000000001,0.7371250000000003,0.10012041676668829,0.044785367774158855,0.14154999999999998,0.01020594622677576,13.869365647708115
L1-smooth ball,180,0.60635,0.7556375,0.6005750000000001,0.73915,0.09937103654506378,0.044344581621568145,0.138575,0.010074862144080297,13.754530634587665
L1-smooth ball,190,0.612,0.75696875,0.6056250000000001,0.7410749999999999,0.09848881839318029,0.04369206842705371,0.13545000000000001,0.010015353113085828,13.52423608739508
L1-smooth ball,200,0.6181,0.75893125,0.61205,0.743325,0.09702739642268908,0.04308942867614241,0.131275,0.009930344209095226,13.219582044272435
L1-smooth ball,210,0.62336875,0.7602937500000002,0.6163,0.745125,0.09470213804078,0.04130658806015957,0.128825,0.009768627311216993,13.187625640306134
L1-smooth ball,220,0.6297,0.7618750000000002,0.6230749999999999,0.7445999999999999,0.09405487800086489,0.04078881308309023,0.121525,0.00959935386872313,12.659706232515918
L1-smooth ball,230,0.6349999999999999,0.7629812500000003,0.6287999999999999,0.7469000000000001,0.09230663655184904,0.04043656960742543,0.11810000000000001,0.009313298301489395,12.680792150844486
L1-smooth ball,240,0.6411812499999999,0.7651937500000001,0.634375,0.74765,0.08966293151508481,0.03906873637086515,0.113275,0.009007551195266864,12.575559943475184
L1-smooth ball,250,0.6467562499999999,0.7666437500000001,0.6408499999999999,0.7491,0.08713757553838108,0.038637658920652615,0.10825000000000001,0.008679805018058595,12.471478307955378
L1-smooth ball,260,0.65243125,0.7682625000000001,0.64545,0.7506249999999999,0.08469372927069499,0.03788668478289416,0.105175,0.00833471617314403,12.61890600892841
L1-smooth ball,270,0.6579625,0.769325,0.6500750000000001,0.75125,0.08400070270870093,0.03676038299005817,0.101175,0.008408108084798657,12.033027998643142
L1-smooth ball,280,0.6627999999999998,0.7705187500000001,0.6548999999999999,0.7533500000000002,0.08261196870755093,0.035924338279334826,0.09845000000000001,0.008136600498781274,12.099647760111385
L1-smooth ball,290,0.6680812500000001,0.7717624999999999,0.6602250000000001,0.7545500000000002,0.08026321518679161,0.03533458402589209,0.09432499999999999,0.007914780875875927,11.917575670035346
L1-smooth ball,300,0.6736249999999999,0.7739625,0.6653749999999999,0.7548250000000002,0.07678957128136449,0.03595426212073425,0.08945,0.00765055784590479,11.691957867867245
L1-smooth ball,310,0.6783937499999999,0.7752749999999999,0.6704749999999998,0.7573750000000001,0.07719162745068177,0.034917606843493265,0.08690000000000003,0.007590291513013532,11.44883564103042
L1-smooth ball,320,0.6834749999999999,0.7762874999999998,0.6741750000000001,0.7584750000000001,0.07402229308618705,0.03390028269301994,0.08430000000000006,0.007262926476985776,11.60689155633389
L1-smooth ball,330,0.6886937499999999,0.77764375,0.68,0.7595750000000001,0.07179516316957191,0.03386331519744658,0.079575,0.007033295185161517,11.31404240900954
L1-smooth ball,340,0.6937437500000001,0.7796249999999999,0.684425,0.759475,0.06745542392700322,0.03305240520596028,0.07505,0.0065494409507741,11.458993304020796
L1-smooth ball,350,0.69820625,0.7804874999999999,0.689125,0.7609999999999999,0.06561324449785541,0.03196036054966599,0.07187500000000001,0.006384104214074329,11.258431502660175
L1-smooth ball,360,0.7027874999999999,0.78156875,0.69255,0.76205,0.06355123996437914,0.03155558667661006,0.0695,0.006193023119086135,11.22230591805956
L1-smooth ball,370,0.7075500000000002,0.7823625,0.6967749999999999,0.762375,0.06208630255254749,0.031201477480556863,0.06559999999999999,0.006121365134601196,10.716563798685046
