factor,value,tag,peak_gap,peak_iteration,peak_t,rev_at_peak,nr_at_peak,gap_at_100,t_at_100,gap_at_400,gap_final,t_final,final_iteration,projection_rate_nr,bayes_ceiling,verdict
eta,7e-06,map_eta7e-06,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
eta,1.2e-05,map_eta1.2e-05,0.18524999999999997,60,11.180280182705086,0.5691666666666666,0.7544166666666668,0.15633333333333332,10.308040430593962,0.014208333333333326,-0.0016666666666666663,-1.6741715432698465,1500,0.00017777777777777779,0.8197389218183079,NR wins
eta,2e-05,map_eta2e-05,0.1900833333333333,40,11.490377634979877,0.5757916666666667,0.7658749999999999,0.11145833333333331,9.11639804445557,0.0017083333333333338,-0.001541666666666669,-1.7254200055550672,1500,0.0010666666666666667,0.8197389218183079,NR wins
eta,4e-05,map_eta4e-05,0.20337499999999997,20,12.220443178021556,0.5760833333333333,0.7794583333333331,0.03154166666666667,8.57235240460979,-0.0012083333333333317,-0.0002500000000000039,-0.24890379196566007,1500,0.005955555555555556,0.8197389218183079,NR wins
eta,6e-05,map_eta6e-05,0.19279166666666667,10,10.161108107490175,0.5580416666666667,0.7508333333333336,0.00766666666666667,3.485893036626243,0.0009166666666666675,-0.0018333333333333277,-1.5665592682286669,1500,0.007555555555555556,0.8197389218183079,NR wins
eta,0.0001,map_eta0.0001,0.192875,10,11.058863250336733,0.5954583333333332,0.7883333333333333,-0.0027916666666666606,-1.4388413531117203,0.0007500000000000099,-0.008958333333333322,-4.389986936416942,1500,0.6133,0.8197389218183079,unstable (projection pinned)
lambda,0,map_lambda0,0.1807083333333334,100,10.918446666998541,0.5676666666666667,0.7483750000000001,0.1807083333333334,10.918446666998541,0.06170833333333333,0.0009583333333333407,0.7277495347871501,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
lambda,0.5,map_lambda0.5,0.18033333333333332,100,10.857620581221797,0.5673750000000001,0.7477083333333334,0.18033333333333332,10.857620581221797,0.06199999999999999,0.0007083333333333331,0.5221884241802256,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
lambda,2,map_lambda2,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
lambda,5,map_lambda5,0.17766666666666664,90,10.423566608458719,0.5594166666666667,0.7370833333333332,0.17758333333333332,10.616921596288543,0.06533333333333334,-0.0005416666666666644,-0.33992774022227057,1500,1.1111111111111112e-05,0.8197389218183079,NR wins
lambda,10,map_lambda10,0.17579166666666662,100,10.290223670417696,0.5624166666666667,0.7382083333333332,0.17579166666666662,10.290223670417696,0.07141666666666667,0.00145833333333333,0.9013819728413728,1500,0.0,0.8197389218183079,NR wins
lambda,30,map_lambda30,0.16708333333333336,130,9.612443340640562,0.5655416666666667,0.7326249999999999,0.15283333333333332,7.663771578947952,0.08808333333333333,0.008708333333333337,1.9278552534973001,1500,0.0,0.8197389218183079,NR wins
delta,0.002,map_delta0.002,0.180625,100,10.92415199086451,0.5677083333333335,0.7483333333333334,0.180625,10.92415199086451,0.06125000000000001,0.0011250000000000075,0.8784991630380076,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
delta,0.005,map_delta0.005,0.18066666666666667,100,10.930255462938025,0.5675416666666667,0.7482083333333335,0.18066666666666667,10.930255462938025,0.06133333333333333,0.001083333333333336,0.8191158714413894,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
delta,0.02,map_delta0.02,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
delta,0.05,map_delta0.05,0.17725,110,10.630471752857622,0.5684166666666666,0.7456666666666666,0.17633333333333334,10.293389505702455,0.07287500000000001,1.8503717077085942e-18,1.201215610313797e-15,1500,0.0,0.8197389218183079,NR wins
delta,0.1,map_delta0.1,0.16916666666666672,120,9.70373390432071,0.5614583333333333,0.7306250000000001,0.1567916666666667,8.176764236438068,0.09612500000000002,0.0038749999999999896,1.907734400380934,1500,0.0,0.8197389218183079,NR wins
n,250,map_n250,0.14766666666666667,800,8.401180023418359,0.5426666666666667,0.6903333333333335,-0.007333333333333338,-0.8305571045236877,0.055333333333333325,0.12566666666666668,7.822152013535622,1500,1.1111111111111112e-05,0.8163710995056889,NR wins
n,500,map_n500,0.16816666666666666,380,9.133413721093474,0.5718333333333334,0.74,-0.0038333333333333323,-0.24265822290624767,0.16616666666666666,0.0785,7.437416546444201,1500,1.1111111111111112e-05,0.8261992359265478,NR wins
n,1000,map_n1000,0.16374999999999995,200,10.159035272896315,0.5710833333333334,0.7348333333333332,0.07558333333333332,3.6142693149445817,0.12300000000000001,0.009499999999999996,1.8837338928950145,1500,1.1111111111111112e-05,0.8174375911464895,NR wins
n,2000,map_n2000,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
n,4000,map_n4000,0.16864583333333336,60,11.168045581102609,0.5651041666666666,0.7337499999999999,0.13904166666666667,10.145302330234006,0.005812500000000003,0.0006250000000000126,0.9384013080369239,1500,0.00017777777777777779,0.8186250805165173,NR wins
n,8000,map_n8000,0.18283333333333332,30,12.224736822952238,0.5672083333333333,0.7500416666666667,0.07038541666666666,8.498216157960325,-0.0009270833333333376,-0.0003333333333333299,-0.9313152585003086,1500,0.003111111111111111,0.8163144780451529,NR wins
init,antipodal,map_initantipodal,0.6459583333333333,90,587.7327377651347,0.17937499999999998,0.8253333333333333,0.6449166666666667,581.8102976358354,0.3480416666666667,0.0018749999999999988,1.3255619539322827,1500,0.0,0.8197389218183079,NR wins
init,origin,map_initorigin,0.010208333333333335,50,3.082834909669935,0.7788749999999999,0.7890833333333334,0.007749999999999997,3.0349402992164953,0.0004999999999999968,0.0011666666666666603,1.1053929125538324,1500,0.0,0.8197389218183079,NR wins (small)
init,uniform,map_inituniform,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
eps,0.01,map_eps0.01,0.18212499999999998,80,12.144733255904677,0.5747916666666666,0.7569166666666667,0.18175000000000005,12.532535974885427,0.053125,0.0024166666666666724,1.8391779411879614,1500,0.0001,0.8197389218183079,NR wins
eps,0.05,map_eps0.05,0.17541666666666667,90,11.244200113562686,0.5827083333333333,0.758125,0.174875,11.492566914547583,0.05158333333333333,0.0017916666666666673,1.3689636969171273,1500,8.888888888888889e-05,0.8197389218183079,NR wins
eps,0.2,map_eps0.2,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
eps,0.5,map_eps0.5,0.16358333333333333,120,11.044452839509047,0.5716250000000002,0.7352083333333334,0.1555416666666667,9.687082611637475,0.06879166666666667,0.003875000000000006,2.483560920327813,1500,0.0,0.8197389218183079,NR wins
radius,-1,map_radius-1,0.17683333333333331,80,11.516672261669438,0.5781666666666666,0.7550000000000001,0.16695833333333335,11.173415556575774,0.030374999999999996,0.000958333333333337,0.703124947749741,1500,0.00036666666666666667,0.8197389218183079,NR wins
radius,+0.2,map_radius+0.2,0.1854166666666667,90,11.993131679307378,0.562875,0.7482916666666665,0.183,11.98798376461183,0.05070833333333334,0.0004166666666666615,0.315108183460443,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
radius,+1,map_radius+1,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
radius,+3,map_radius+3,0.16025,120,11.144962637550995,0.5744583333333332,0.7347083333333334,0.15287499999999998,9.953800471335885,0.07754166666666665,-0.00033333333333332806,-0.23548063151679188,1500,0.0002,0.8197389218183079,NR wins
radius,+6,map_radius+6,0.16345833333333334,150,10.855639880321698,0.5704583333333333,0.7339166666666668,0.11220833333333333,6.222437851481403,0.10691666666666667,0.0009166666666666657,0.45769405322441536,1500,0.0,0.8197389218183079,NR wins
v1,0.25,map_v10.25,0.16729166666666667,100,10.297571648159783,0.5535,0.7207916666666666,0.16729166666666667,10.297571648159783,0.05066666666666665,0.0045000000000000005,2.5706876751757104,1500,4.4444444444444447e-05,0.7983193056714194,NR wins
v1,1,map_v11,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
v1,4,map_v14,0.1467083333333333,110,9.400497911621171,0.6311666666666668,0.777875,0.14600000000000002,9.233902936782187,0.02016666666666666,-0.00029166666666666414,-0.26232672428839365,1500,0.0003111111111111111,0.8769987377999666,NR wins
v1,16,map_v116,0.065625,110,7.202662911381357,0.7758333333333333,0.8414583333333333,0.06404166666666668,6.620795079220841,0.028541666666666667,0.0027500000000000007,2.5333851179456697,1500,0.0006888888888888888,0.9226423577328066,NR wins
b,0.25,map_b0.25,0.023916666666666683,90,3.2293452515835823,0.522625,0.5465416666666667,0.023374999999999996,3.186249340486818,0.020583333333333318,0.0007916666666666646,0.511843278976085,1500,3.3333333333333335e-05,0.6311414481293436,NR wins (small)
b,0.5,map_b0.5,0.06283333333333334,110,7.849260102953241,0.5357916666666667,0.5986250000000001,0.060625000000000005,7.58590855904196,0.027666666666666662,0.0016666666666666663,1.0326788787014292,1500,5.555555555555556e-05,0.6808177744746206,NR wins
b,1.0,map_b1.0,0.14725,100,11.771663028244909,0.541,0.68825,0.14725,11.771663028244909,0.047874999999999994,-0.0006666666666666673,-0.41756767500191183,1500,0.0001,0.7623443391090572,NR wins
b,1.5,map_b1.5,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
b,2.5,map_b2.5,0.16204166666666672,120,10.512972302592706,0.5798333333333333,0.741875,0.15308333333333338,9.700672847813179,0.08408333333333334,0.00704166666666667,3.2548695436386987,1500,0.0002111111111111111,0.8766977006511348,NR wins
