stage,arm,eta,s,train,test,train_sd,proj,nbad,d_train,t_train
search,nrev,0.0001,gn5,0.7986306179775281,0.8035963687150839,0.009786771985190476,0.28389583333333335,0,-0.0007461376404494426,-0.596705534469502
search,rev,0.0003,-,0.799925386235955,0.8035090782122906,0.010164767465570343,0.46091666666666664,0,,
search,nrev,0.0003,u0.25,0.7999253862359551,0.8042074022346368,0.0105308975726265,0.46251041666666665,0,-3.469446951953614e-18,-6.124189029081324e-15
search,nrev,0.0003,u1,0.7997498244382023,0.8042946927374302,0.011148684308335257,0.4703333333333333,0,-0.00017556179775280768,-0.17752678073727085
search,nrev,0.0003,u2,0.8006056882022472,0.8051675977653632,0.010985050690404783,0.47719791666666667,0,0.0006803019662921309,0.7930860654723227
search,nrev,0.0003,u5,0.7986306179775281,0.8041201117318436,0.01213492847856374,0.49440625,0,-0.0012947682584269673,-0.9669821453792038
search,nrev,0.0003,b2_5,0.7993548103932584,0.8046438547486033,0.013220087033330528,0.4905625,0,-0.000570575842696628,-0.46365251076205927
search,nrev,0.0003,gn5,0.7984331109550562,0.8044692737430168,0.011092901163275559,0.48578125,0,-0.0014922752808988748,-1.2200797329763815
search,rev,0.001,-,0.8002106741573034,0.8049057262569833,0.01079537954817138,0.71746875,0,,
search,nrev,0.001,u0.25,0.7996620435393258,0.8042946927374302,0.010963362205827318,0.7174791666666667,0,-0.0005486306179775333,-2.441226805404033
search,nrev,0.001,u1,0.800144838483146,0.8038582402234637,0.011310058847290602,0.7225833333333334,0,-6.58356741573031e-05,-0.0972443413039663
search,nrev,0.001,u2,0.7996620435393258,0.8017632681564246,0.010957648749981173,0.7295,0,-0.0005486306179775299,-0.5533564755559209
search,nrev,0.001,u5,0.7576369382022472,0.765625,0.02880952943000983,0.8678333333333333,0,-0.04257373595505618,-12.25312423523931
search,nrev,0.001,b2_5,0.7561227176966292,0.7644029329608939,0.02908695812787737,0.8658125,0,-0.04408795646067414,-12.464285697560385
search,nrev,0.001,gn5,0.7516239466292135,0.7568959497206703,0.04494815245612008,0.8041354166666667,0,-0.04858672752808988,-8.749559495332857
search,rev,0.003,-,0.7984331109550562,0.8032472067039106,0.011941132015735732,0.9100833333333334,0,,
search,nrev,0.003,u0.25,0.7984989466292135,0.8027234636871509,0.012040299661609317,0.9103125,0,6.583567415731004e-05,0.20306000306855437
search,nrev,0.003,u1,0.7974016853932584,0.802199720670391,0.011809318559911738,0.9135833333333333,0,-0.0010314255617977445,-1.4831778849745014
search,nrev,0.003,u2,0.7921348314606741,0.7990572625698324,0.015803100582752985,0.9253854166666666,0,-0.006298279494382025,-3.475137727763954
search,nrev,0.003,u5,0.6833523525280899,0.6964909217877095,0.03246621673966605,1.0,0,-0.1150807584269663,-25.630289974375525
search,nrev,0.003,b2_5,0.689036165730337,0.6995460893854748,0.02311171030513338,1.0,0,-0.1093969452247191,-36.47333160010793
search,nrev,0.003,gn5,0.6113061797752808,0.6092004189944135,0.0640005172899481,0.9106354166666667,0,-0.1871269311797753,-23.32254069176305
confirmA,nrev_claim,3e-05,u2,0.7988904494382022,0.8072346368715085,0.010067472554602814,0.10159666666666667,0,,
confirmA,rev_matched,3e-05,-,0.7957724719101124,0.802709497206704,0.010825449176282049,0.04742333333333333,0,,
confirmA,rev_claimbest,0.0003,-,0.7981601123595506,0.8056424581005587,0.010382733219080847,0.46369666666666665,0,,
confirmB,nrev_claim,3e-05,u2,0.7986376404494382,0.8061173184357543,0.011265303478171992,0.09996,0,,
confirmB,rev_matched,3e-05,-,0.7962078651685394,0.8044413407821228,0.011632144641600761,0.044603333333333335,0,,
