potential,mode,target_block,s,own_ratio,own_t,overall,bias_nrev,bias_rev,rhat,d_acc_pts,t_acc
graded,block1,1,20.0,3.5239733473368604,18.820320509791923,1.5281536878442166,0.14073374144748563,0.05639223881175439,1.0814031394046593,-0.005882203447515194,-0.7632985023563457
graded,block2,2,1.0,1.3585827980950287,10.118865450623545,1.1156077935841322,0.056239188401872454,0.05639223881175439,1.0814031394046593,-0.0174476277928777,-1.4880258928936805
graded,block2,2,2.0,1.9554559014992399,12.921518333042851,1.2673263643111494,0.05648035818070442,0.05639223881175439,1.0814031394046593,-0.02161229765211825,-1.4036253900978475
graded,block2,2,5.0,3.684770527660274,14.597484422612734,1.5734163208001577,0.0987525883811038,0.05639223881175439,1.0814031394046593,-0.03273088399076175,-2.040125315460365
graded,block2,2,10.0,8.433446166574221,25.930000598264595,2.0835966935653145,0.7381339787509671,0.05639223881175439,1.0814031394046593,-0.1670126868481409,-9.09225446456759
graded,block2,2,20.0,24.254814951396074,46.685301150676466,6.043772664655571,61.09893232609967,0.05639223881175439,1.0814031394046593,-10.611899966377573,-320.9975755507949
graded,block3,3,1.0,1.235535519168973,8.622160701027266,1.0728808407195762,0.048830060734780356,0.05639223881175439,1.0814031394046593,0.0030266293110543796,1.486554911795911
graded,block3,3,2.0,1.6713397413046056,10.806215589097809,1.1866788075967534,0.05035866766305922,0.05639223881175439,1.0814031394046593,0.006154495357929904,2.1703139282458315
graded,block3,3,5.0,3.0150260511871463,10.593190229826481,1.443626962121732,0.16021351480820778,0.05639223881175439,1.0814031394046593,0.02857668689729559,8.415903196723653
graded,block3,3,10.0,4.47802565592628,10.313688924493668,1.565701010531331,1.1379714861505128,0.05639223881175439,1.0903876234563166,0.10830585279589418,6.404418469387295
graded,block3,3,20.0,41.36463896509658,22.403021123060277,10.28882774812691,47.04746049761966,0.05639223881175439,1.0814031394046593,-10.351400390315137,-439.10970008112724
graded,uniform,0,1.0,,,1.2070163438309,0.04877947293587082,0.05639223881175439,1.0814031394046593,-0.013415612966791515,-1.1013447346134115
graded,uniform,0,2.0,,,1.5479117815809007,0.0427651394621429,0.05639223881175439,1.0814031394046593,-0.011261714137574333,-0.7351272985656251
graded,uniform,0,5.0,,,2.5441939740741866,0.1706585007978267,0.05639223881175439,1.0814031394046593,0.017391773042084793,0.9772004915544839
graded,uniform,0,10.0,,,3.623099870367159,1.6909488925056793,0.05639223881175439,1.090598083633563,0.015705657751155858,0.7710159662997449
graded,uniform,0,20.0,,,13.94610655053811,47.24585698671901,0.05639223881175439,1.0814031394046593,-10.38463047614155,-402.1050472673663
